ISO8859-2
-|¹unka (pogovorno)|gnjat
¹untati|1
-|¹èuvati|¹untati (nizko)|hujskati
¹vab¹èina|1
-|¹vab¹èina (slab¹alno)|nem¹èina|nem¹ki jezik
¹vadroner|1
-|¹irokoustne¾|¹vadroner (zastarelo)|bahaè|blefer (pogovorno)|postavljaè|razustnik
¹vadronirati|1
-|¹irokoustiti se|¹vadronirati (zastarelo)|bahati se
¹ved¹èina|1
-|¹vedski jezik
¹vedski jezik|1
-|¹ved¹èina
¹vercati|1
-|¹vercati (nizko)|kontrabantiti|tihotapiti
¹vigajoè|1
-|jezljav|plapolajoè
¹vigniti|1
-|¹initi|blisniti (ekspresivno)
¾aba|1
-|¾abura (slab¹alno)|rega (ekspresivno)|regljaè (ekspresivno)
¾abica|1
-|obe¹anka
¾abogolt|1
-|¹torklja|¾abogolt (ekspresivno)
¾abura|1
-|¾aba|¾abura (slab¹alno)|rega (ekspresivno)|regljaè (ekspresivno)
¾ale|1
-|britof (nizko)|pokopali¹èe
¾alni trak|1
-|flor
¾alnica|1
-|¾alostinka|¾alostnica|elegija
¾aloben|1
-|¾alosten|bridek|bridkoben|bridkosten|elegièen|kislogled|oto¾en|potrt|pre¾alosten|to¾en (zastarelo)|turoben
¾alobnost|1
-|oto¾nost
¾aloigra|1
-|tragedija
¾alost|1
-|mraènost|turobnost
¾alosten|1
-|¾aloben|bridek|bridkoben|bridkosten|elegièen|kislogled|oto¾en|potrt|pre¾alosten|to¾en (zastarelo)|turoben
¾alostinka|1
-|¾alnica|¾alostnica|elegija
¾alostnica|1
-|¾alnica|¾alostinka|elegija
¾aluzija|1
-|navojnica|rebraèa|roleta|zaslonka
¾amet|1
-|bar¾un
¾ametast|1
-|bar¾unast
¾ametnica|1
-|tagetes
¾andar|1
-|oro¾nik
¾anr|1
-|slog|zvrst
¾ara|1
-|urna
¾areèina|1
-|¾arja|magma
¾ari¹èe|1
-|fokus
¾arja|1
-|¾areèina|magma
¾arkast|1
-|radialen
¾arnica|1
-|sijalka
¾aromet|1
-|reflektor
¾egnanje|1
-|patrocinij|pro¹èenje
¾elatina|1
-|¾olca|aspik
¾elezni¹ka postaja|1
-|kolodvor
¾elezo|1
-|Fe|element (nadpomenka)|kemièna prvina (nadpomenka)|kemièni element (nadpomenka)
¾emlja|1
-|prepoènica
¾ena|1
-|¾enska|soproga
¾enska|3
-|¾ena|soproga
-|baba (slab¹alno)|babnica (slab¹alno)|mo¹ki (protipomenka)
-|hèerka|hèerkica|hèi
¾enskar|1
-|babjak (slab¹alno)
¾enski|1
-|babji (slab¹alno)
¾erka|1
-|larva|lièinka|¾u¾elka (nadpomenka)|insekt (nadpomenka)|mrèes (nadpomenka)
¾ganje|1
-|rakija
¾ig|1
-|¹tempelj (pogovorno)|peèat
¾itarica|1
-|¾ito
¾itni èistilnik|1
-|trier|vejalnik|velnik
¾ito|1
-|¾itarica
¾ivad|1
-|¾ival|¾u¾elka (podpomenka)|insekt (podpomenka)|mrèes (podpomenka)
¾ivahen|1
-|dinamièen|razgiban
¾ivahnost|1
-|brio|ognjevitost|polet|verva
¾ival|1
-|¾ivad|¾u¾elka (podpomenka)|insekt (podpomenka)|mrèes (podpomenka)
¾ivalski|1
-|animalen|animalièen
¾ivalski vrt|1
-|zoo|zoolo¹ki vrt
¾ivalstvo|1
-|favna
¾ivèen|1
-|nervozen
¾ivènina|1
-|mozgovina
¾ivènost|1
-|nervoznost
¾ivinozdravnik|1
-|veterinar
¾ivinozdravstvo|1
-|veterina|veterinarstvo
¾ivljenjepis|2
-|biografija
-|currículum vitae
¾ivljenjepisec|1
-|biograf
¾ivljenjepisen|1
-|biografski
¾ivo bitje|1
